Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
0,1941,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-1-a.wav,m,1,10-139-2-1-a.wav,a hairbrush ,10,bulverde,ʁ,b,139,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,10-139-2-1-a,ʏ,0.436,0.573,0.136,0.482,89.31,519.00,1894.37,2526.94,0.527,88.44,613.64,1579.34,2164.55,5500 Hz,10,
1,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-1-a.wav,f,1,9-134-2-1-a.wav,a hairbrush ,9,bulverde,ʁ,b,134,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-1-a.wav,f,1,9-151-1-1-a.wav,a hairbrush ,9,bulverde,ʁ,b,151,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,9-151-1-1-a,ʏ,0.929,1.035,0.106,0.964,90.29,583.50,1866.61,2563.61,1.000,87.03,616.08,1684.74,2533.88,5500 Hz,10,
3,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-1-a.wav,m,1,9-153-1-1-a.wav,a hairbrush ,9,bulverde,ʁ,b,153,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-1-a.wav,f,1,120-449-2-1-a.wav,a hairbrush ,120,columbus,ʁ,b,449,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,120-449-2-1-a,ʏ,0.992,1.090,0.098,1.025,192.27,405.46,2200.92,2878.98,1.057,186.56,394.77,2250.46,2823.97,5500 Hz,10,
5,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-1-a.wav,f,1,121-453-2-1-a.wav,a hairbrush ,121,columbus,ʁ,b,453,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-1-a.wav,m,1,1-141-2-1-a.wav,a hairbrush ,1,comfort,ʁ,b,141,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-1-a.wav,m,1,1-142-2-1-a.wav,a hairbrush ,1,comfort,ʁ,b,142,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-1-a.wav,m,1,10-147-1-1-a.wav,a hairbrush ,10,comfort,ʁ,b,147,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,10-147-1-1-a,ʏ,0.149,0.229,0.080,0.176,--undefined--,385.85,1901.44,2280.65,0.203,--undefined--,445.49,1723.07,2259.87,5500 Hz,10,
9,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-1-a.wav,m,1,10-149-1-1-a.wav,a hairbrush ,10,comfort,ʁ,b,149,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-391-2-1-a.wav,m,1,1-391-2-1-a.wav,a hairbrush ,1,converse,ʁ,b,391,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ,1-391-2-1-a,ʏ,0.700,0.813,0.113,0.738,139.10,460.56,1932.02,2361.05,0.776,128.44,522.10,1626.04,2305.83,5500 Hz,10,
